id	x	y
275	1031	1011
276	1038	855
277	755	744
278	866	77
279	1057	587
280	816	647
281	1031	1047
282	802	815
283	839	636
284	1186	769
285	1018	720
286	1079	742
287	773	901
288	1073	774
289	775	863
290	720	988
291	1607	366
292	793	868
293	1608	30
294	1187	754
295	1251	539
296	1074	757
297	619	845
298	1606	199
299	1246	231
300	1248	364
301	832	724
302	1236	289
303	1563	843
304	1537	212
305	1468	45
306	1503	245
307	1055	622
308	1609	418
309	775	837
310	1603	429
311	1559	213
312	1574	215
