id	x	y
93	1038	717
94	1030	913
95	1041	997
96	817	509
97	1030	878
98	806	654
99	753	611
100	1064	969
101	1019	596
102	838	501
103	1070	1074
104	773	750
105	789	722
106	775	712
107	719	840
108	1188	650
109	1190	631
110	1055	457
111	1077	641
112	594	728
113	1080	611
114	1240	126
115	1249	422
116	1612	48
117	779	686
118	1619	758
119	1242	254
120	1593	199
121	1625	177
122	1602	32
123	1575	786
124	1075	624
125	1320	955
126	1229	182
127	1596	378
128	1483	256
129	1487	129
130	838	576
131	1535	216
132	806	627
133	1036	951
134	1242	1023
135	1500	139
136	505	447
137	1546	847
138	1586	1040
139	1473	239
140	1569	880
141	1576	353
142	1620	65
143	1604	368
144	1595	447
145	1541	835
