frame	id	x	y
frame003.png	0	1028.3289991522836	940.6983933905092
frame003.png	1	1052.8820624832797	923.7730057519706
frame003.png	2	801.4747113649694	600.3391035202048
frame003.png	3	1054.3642558310426	1026.5507742073323
frame003.png	4	768.0095712471195	657.937562188758
frame003.png	5	1018.270599855867	858.9171164560457
frame003.png	6	745.6267189216302	561.4511609650245
frame003.png	7	766.9103347057921	689.2175712637525
frame003.png	8	809.3044037125114	465.1021116327556
frame003.png	9	1025.7426290039136	662.5267096871514
frame003.png	10	829.8408859671126	1018.6873891318678
frame003.png	11	1017.1993631012438	817.3619306556025
frame003.png	12	856.2873406014277	1067.353304413166
frame003.png	13	712.1100795520485	784.8436937232334
frame003.png	14	830.793554525722	450.5316307830717
frame003.png	15	1040.3783614636707	415.5484690260537
frame003.png	16	780.7484980989341	663.7555598737821
frame003.png	17	1045.7568835930017	1088.7083718607628
frame003.png	18	1243.6202019327436	1041.7872566695241
frame003.png	19	773.9830459900008	628.6467755020238
frame003.png	20	806.8626550954693	1038.1770340898004
frame003.png	21	1263.402772031575	1086.075910948926
frame003.png	22	1171.3835646830958	605.2975136971857
frame003.png	23	1173.3168798417814	586.7810260637011
frame003.png	24	1064.6836691424537	589.5747206826745
frame003.png	25	1532.1237004527757	230.59352362940376
frame003.png	26	1220.6700049132758	97.88743406003198
frame003.png	27	1065.6449899135634	563.3297863175086
frame003.png	28	577.4838575957104	692.2925816065265
frame003.png	29	1005.2260372691266	556.5133987482405
frame003.png	30	1227.8109136079725	393.4804100433005
frame003.png	31	1539.6923310712043	857.0243485746731
frame003.png	32	1227.63276897483	972.5783817092561
frame003.png	33	1479.0143779497544	280.45224540662457
frame003.png	34	806.4278670015315	1086.1610233258875
frame003.png	35	1456.5016874055773	284.7469165465902
frame003.png	36	833.7826919943027	519.5953013572287
frame003.png	37	1531.1792421049036	290.7152687026095
frame003.png	38	1622.8559405500012	1015.0636703001205
frame003.png	39	1303.772931756345	911.2793413200623
frame003.png	40	1314.7969746005024	972.9070926474922
frame003.png	41	1522.7736408132273	235.7664948691786
frame003.png	42	1510.0134201027558	866.5538276614434
frame003.png	43	1534.8237204717539	813.7478258292522
frame003.png	44	1209.0037380825665	157.31139011223718
frame003.png	45	1608.5341342492445	83.40138903290449
frame003.png	46	1581.7480342490026	1033.5488240875802
