id	x	y
188	1031	941
189	1039	1063
190	1031	977
191	1038	786
192	1061	1030
193	817	578
194	1018	659
195	839	566
196	773	825
197	754	676
198	804	737
199	774	787
200	791	792
201	525	166
202	1079	669
203	1187	708
204	719	914
205	1057	518
206	1189	689
207	1075	709
208	1244	183
209	1445	211
210	777	758
211	1249	480
212	1075	687
213	1606	395
214	835	648
215	1529	841
216	1503	138
217	1319	1019
218	1540	266
219	1586	359
220	1232	235
221	1499	202
222	1568	783
223	802	702
224	1443	200
225	1245	306
226	1594	422
227	1471	1
228	1478	127
229	1555	792
230	1568	367
