id	x	y
50	1030	881
51	1040	972
52	1065	943
53	774	713
54	1030	845
55	818	474
56	1069	1041
57	1039	678
58	774	679
59	807	615
60	753	574
61	840	1049
62	838	465
63	788	685
64	1081	578
65	1055	425
66	719	804
67	588	704
68	1079	603
69	817	1064
70	1189	619
71	1608	31
72	1258	1055
73	1191	596
74	1018	569
75	1239	104
76	1611	406
77	1599	201
78	781	646
79	1241	224
80	1248	393
81	1560	805
82	1518	260
83	1576	361
84	1605	51
85	1533	790
86	1227	155
87	1609	435
88	1320	928
89	1622	749
90	1553	842
91	1597	438
