id	x	y
147	1030	947
148	1062	1004
149	1030	912
150	1038	747
151	817	544
152	1038	1038
153	773	788
154	839	531
155	1018	629
156	805	698
157	753	642
158	774	750
159	790	755
160	718	881
161	1076	671
162	1079	636
163	1189	662
164	1055	490
165	1187	681
166	600	756
167	1242	157
168	1075	654
169	837	610
170	1249	451
171	1615	728
172	1532	221
173	778	720
174	1565	786
175	1319	989
176	1243	281
177	1614	993
178	1231	212
179	1433	202
180	1565	278
181	1241	1049
182	1600	443
183	1329	1050
184	1541	216
185	1603	376
186	1423	189
